Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
ABC	44	26,4	50.1	38	418	3.420	38.0	28	22	27	1	2	93	5	0,74	0,58	1,32	0,71	1,29
América (MG)	34	27,3	51.8	38	418	3.420	38.0	45	33	38	7	7	60	2	1,18	0,87	2,05	1,00	1,87
Boa	39	27,0	49.3	38	418	3.420	38.0	39	26	34	5	8	100	5	1,03	0,68	1,71	0,89	1,58
Brasil (RS)	31	29,2	46.1	38	418	3.420	38.0	43	22	40	3	3	112	5	1,13	0,58	1,71	1,05	1,63
Ceará	32	27,2	54.8	38	418	3.420	38.0	45	28	44	1	2	83	4	1,18	0,74	1,92	1,16	1,89
CRB	34	28,8	49.9	38	418	3.420	38.0	35	23	31	4	5	106	4	0,92	0,61	1,53	0,82	1,42
Criciúma	35	26,6	49.6	38	418	3.420	38.0	38	26	35	3	4	90	4	1,00	0,68	1,68	0,92	1,61
Figueirense	43	27,2	50.7	38	418	3.420	38.0	44	29	38	6	6	89	6	1,16	0,76	1,92	1,00	1,76
Goiás	37	26,5	51.1	38	418	3.420	38.0	34	25	34	0	2	86	7	0,89	0,66	1,55	0,89	1,55
Guarani	39	26,6	51.8	38	418	3.420	38.0	35	22	30	5	5	70	4	0,92	0,58	1,50	0,79	1,37
Internacional	37	26,4	56.0	38	418	3.420	38.0	53	37	46	7	10	102	1	1,39	0,97	2,37	1,21	2,18
Juventude	32	27,9	49.2	38	418	3.420	38.0	34	25	33	1	1	88	5	0,89	0,66	1,55	0,87	1,53
Londrina	43	25,2	47.9	38	418	3.420	38.0	54	39	49	5	7	86	6	1,42	1,03	2,45	1,29	2,32
Luverdense	31	26,2	56.1	38	418	3.420	38.0	38	29	37	1	1	90	5	1,00	0,76	1,76	0,97	1,74
Náutico	48	25,2	44.6	38	418	3.420	38.0	27	16	22	5	8	83	6	0,71	0,42	1,13	0,58	1,00
Oeste	36	26,4	47.4	38	418	3.420	38.0	42	25	35	7	9	78	4	1,11	0,66	1,76	0,92	1,58
Paraná	38	24,3	49.1	38	418	3.420	38.0	47	28	39	8	8	77	4	1,24	0,74	1,97	1,03	1,76
Paysandu	39	28,0	47.4	38	418	3.420	38.0	39	30	35	4	5	102	5	1,03	0,79	1,82	0,92	1,71
Santa Cruz	43	27,5	54.1	38	418	3.420	38.0	43	29	39	4	5	85	4	1,13	0,76	1,89	1,03	1,79
Vila Nova	34	27,2	43.9	38	418	3.420	38.0	38	20	33	5	5	82	3	1,00	0,53	1,53	0,87	1,39
