Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
Atl Goianiense	35	25,1	54.4	38	419	3.420	38.0	54	40	49	5	6	96	6	1,42	1,05	2,47	1,29	2,34
Avaí	32	27,0	45.3	38	418	3.420	38.0	49	31	44	5	8	98	6	1,29	0,82	2,11	1,16	1,97
Boa	49	25,8	46.8	38	418	3.420	38.0	26	21	23	3	4	98	9	0,68	0,55	1,24	0,61	1,16
Brasil de Pelotas	37	28,7	49.1	38	418	3.420	38.0	36	28	35	1	1	107	5	0,95	0,74	1,68	0,92	1,66
Coritiba	39	26,4	50.9	38	418	3.420	38.0	39	28	34	5	6	106	6	1,03	0,74	1,76	0,89	1,63
CRB	36	28,9	50.2	38	418	3.420	38.0	33	19	31	2	3	87	7	0,87	0,50	1,37	0,82	1,32
Criciúma	39	26,7	48.2	38	418	3.420	38.0	45	26	38	7	8	114	13	1,18	0,68	1,87	1,00	1,68
CSA	37	29,0	47.1	38	418	3.420	38.0	48	31	44	4	5	96	2	1,26	0,82	2,08	1,16	1,97
Figueirense	37	26,7	52.7	38	418	3.420	38.0	47	31	44	3	4	99	6	1,24	0,82	2,05	1,16	1,97
Fortaleza	37	27,1	58.7	38	418	3.420	38.0	53	34	48	5	6	96	2	1,39	0,89	2,29	1,26	2,16
Goiás	33	26,2	52.2	38	418	3.420	38.0	54	41	53	1	2	95	3	1,42	1,08	2,50	1,39	2,47
Guarani	41	25,2	51.6	38	418	3.420	38.0	42	25	38	4	4	85	3	1,11	0,66	1,76	1,00	1,66
Juventude	39	27,7	48.8	38	418	3.420	38.0	26	19	25	1	1	113	7	0,68	0,50	1,18	0,66	1,16
Londrina	45	27,3	48.4	38	418	3.420	38.0	44	26	35	9	11	115	6	1,16	0,68	1,84	0,92	1,61
Oeste	38	25,4	49.3	38	418	3.420	38.0	35	28	35	0	0	88	4	0,92	0,74	1,66	0,92	1,66
Paysandu	36	27,5	50.4	38	418	3.420	38.0	42	27	35	7	8	89	5	1,11	0,71	1,82	0,92	1,63
Ponte Preta	32	24,1	49.6	38	418	3.420	38.0	40	32	38	2	3	87	7	1,05	0,84	1,89	1,00	1,84
Sampaio Corrêa	43	25,9	51.5	38	418	3.420	38.0	31	19	30	1	2	109	10	0,82	0,50	1,32	0,79	1,29
São Bento	42	28,8	46.9	38	418	3.420	38.0	41	25	35	6	8	96	4	1,08	0,66	1,74	0,92	1,58
Vila Nova	31	28,8	48.9	38	418	3.420	38.0	41	31	37	4	5	91	6	1,08	0,82	1,89	0,97	1,7
