Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs Atl Goianiense	35	27,1	45.6	38	418	3.420	38.0	51	28	46	5	5	87	4	1,34	0,74	2,08	1,21	1,95
vs Avaí	32	27,1	54.7	38	418	3.420	38.0	32	21	26	6	7	107	9	0,84	0,55	1,39	0,68	1,24
vs Boa	49	26,8	53.2	38	418	3.420	38.0	48	39	44	4	7	100	1	1,26	1,03	2,29	1,16	2,18
vs Brasil de Pelotas	37	26,8	50.9	38	418	3.420	38.0	33	27	30	3	3	109	6	0,87	0,71	1,58	0,79	1,50
vs Coritiba	39	26,9	49.1	38	418	3.420	38.0	43	26	37	6	9	88	6	1,13	0,68	1,82	0,97	1,66
vs CRB	36	27,1	49.8	38	418	3.420	38.0	39	24	36	3	4	87	4	1,03	0,63	1,66	0,95	1,58
vs Criciúma	39	27,0	51.8	38	418	3.420	38.0	47	35	46	1	1	110	10	1,24	0,92	2,16	1,21	2,13
vs CSA	37	26,7	52.9	38	418	3.420	38.0	37	25	34	3	3	93	9	0,97	0,66	1,63	0,89	1,55
vs Figueirense	37	26,9	47.3	38	418	3.420	38.0	50	34	45	5	6	110	6	1,32	0,89	2,21	1,18	2,08
vs Fortaleza	37	26,7	41.3	38	418	3.420	38.0	32	21	30	2	4	113	8	0,84	0,55	1,39	0,79	1,34
vs Goiás	33	27,0	47.8	38	418	3.420	38.0	48	37	45	3	4	105	9	1,26	0,97	2,24	1,18	2,16
vs Guarani	41	26,9	48.4	38	418	3.420	38.0	39	28	37	2	3	108	6	1,03	0,74	1,76	0,97	1,71
vs Juventude	39	26,8	51.2	38	418	3.420	38.0	48	32	45	3	4	99	6	1,26	0,84	2,11	1,18	2,03
vs Londrina	45	26,9	51.6	38	418	3.420	38.0	41	24	37	4	4	104	5	1,08	0,63	1,71	0,97	1,61
vs Oeste	38	27,1	50.7	38	418	3.420	38.0	34	24	30	4	6	81	3	0,89	0,63	1,53	0,79	1,42
vs Paysandu	36	26,8	49.6	38	418	3.420	38.0	52	43	51	1	2	117	12	1,37	1,13	2,50	1,34	2,47
vs Ponte Preta	32	27,1	50.4	38	419	3.420	38.0	29	17	25	4	5	105	3	0,76	0,45	1,21	0,66	1,11
vs Sampaio Corrêa	43	27,0	48.5	38	418	3.420	38.0	46	34	45	1	3	105	3	1,21	0,89	2,11	1,18	2,08
vs São Bento	42	26,9	53.1	38	418	3.420	38.0	41	24	34	7	7	111	6	1,08	0,63	1,71	0,89	1,53
vs Vila Nova	31	26,8	51.1	38	418	3.420	38.0	36	19	28	8	8	83	1	0,95	0,50	1,45	0,74	1,24
