Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs América (MG)	35	26,8	50.8	38	418	3.420	38.0	32	23	29	3	3	107	5	0,84	0,61	1,45	0,76	1,37
vs Atl Goianiense	28	27,1	51.2	38	418	3.420	38.0	28	16	26	2	4	101	6	0,74	0,42	1,16	0,68	1,11
vs Botafogo (SP)	27	27,2	50.7	38	418	3.420	38.0	37	28	34	3	5	85	1	0,97	0,74	1,71	0,89	1,63
vs Bragantino	32	27,0	40.0	38	418	3.420	38.0	27	15	26	1	3	93	7	0,71	0,39	1,11	0,68	1,08
vs Brasil de Pelotas	33	26,8	54.9	38	418	3.420	38.0	45	32	42	3	5	80	5	1,18	0,84	2,03	1,11	1,95
vs Coritiba	40	27,0	50.3	38	418	3.420	38.0	34	22	33	1	3	100	6	0,89	0,58	1,47	0,87	1,45
vs CRB	39	27,1	54.4	38	418	3.420	38.0	43	28	40	3	5	105	8	1,13	0,74	1,87	1,05	1,79
vs Criciúma	33	26,9	46.7	38	418	3.420	38.0	36	25	33	3	3	101	9	0,95	0,66	1,61	0,87	1,53
vs Cuiabá	39	27,0	51.6	38	407	3.330	37.0	40	26	39	1	2	84	0	1,08	0,70	1,78	1,05	1,76
vs Figueirense	44	26,9	49.1	38	407	3.330	37.0	32	23	27	5	5	97	6	0,86	0,62	1,49	0,73	1,35
vs Guarani	42	26,7	49.3	38	418	3.420	38.0	37	26	34	3	4	113	5	0,97	0,68	1,66	0,89	1,58
vs Londrina	48	26,8	52.4	38	418	3.420	38.0	53	37	46	7	9	78	1	1,39	0,97	2,37	1,21	2,18
vs Oeste	43	27,0	50.3	38	418	3.420	38.0	45	23	40	5	9	80	0	1,18	0,61	1,79	1,05	1,66
vs Operário	38	27,0	49.5	38	418	3.420	38.0	39	25	38	1	2	112	3	1,03	0,66	1,68	1,00	1,66
vs Paraná	36	27,1	51.4	38	418	3.420	38.0	33	21	31	2	4	106	5	0,87	0,55	1,42	0,82	1,37
vs Ponte Preta	46	27,0	46.9	38	418	3.420	38.0	39	27	34	5	6	94	11	1,03	0,71	1,74	0,89	1,61
vs São Bento	47	27,0	48.1	38	418	3.420	38.0	53	29	48	5	8	105	4	1,39	0,76	2,16	1,26	2,03
vs Sport Recife	31	26,9	47.1	38	418	3.420	38.0	28	20	24	4	6	89	6	0,74	0,53	1,26	0,63	1,16
vs Vila Nova	42	27,0	51.6	38	418	3.420	38.0	40	26	38	2	2	88	1	1,05	0,68	1,74	1,00	1,68
vs Vitória	47	27,2	51.9	38	418	3.420	38.0	45	32	41	4	4	102	4	1,18	0,84	2,03	1,08	1,92
