Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
Atl Goianiense	33	25,5	43.7	38	418	3.420	38.0	38	24	33	5	7	85	3	1,00	0,63	1,63	0,87	1,50
Atl Paranaense	35	26,7	51.1	38	418	3.420	38.0	43	28	39	4	8	76	3	1,13	0,74	1,87	1,03	1,76
Atlético Mineiro	39	28,6	53.0	38	418	3.420	38.0	52	36	47	5	9	106	3	1,37	0,95	2,32	1,24	2,18
Avaí	29	27,3	40.3	38	418	3.420	38.0	29	17	24	5	5	83	5	0,76	0,45	1,21	0,63	1,08
Bahia	33	25,2	48.6	38	418	3.420	38.0	49	34	42	7	8	89	6	1,29	0,89	2,18	1,11	2,00
Botafogo (RJ)	37	26,6	47.1	38	418	3.420	38.0	45	35	43	2	3	95	2	1,18	0,92	2,11	1,13	2,05
Chapecoense	38	26,4	43.8	38	418	3.420	38.0	47	33	42	5	5	105	2	1,24	0,87	2,11	1,11	1,97
Corinthians	32	25,7	54.5	38	418	3.420	38.0	50	36	46	4	5	82	1	1,32	0,95	2,26	1,21	2,16
Coritiba	35	27,0	48.2	38	418	3.420	38.0	41	25	35	6	10	107	5	1,08	0,66	1,74	0,92	1,58
Cruzeiro	35	27,6	52.6	38	418	3.420	38.0	46	33	43	3	5	86	4	1,21	0,87	2,08	1,13	2,00
Flamengo	33	27,8	57.4	38	418	3.420	38.0	49	31	45	4	6	75	2	1,29	0,82	2,11	1,18	2,00
Fluminense	38	24,6	50.2	38	418	3.420	38.0	47	27	38	9	9	94	3	1,24	0,71	1,95	1,00	1,71
Grêmio	49	26,4	53.3	38	418	3.420	38.0	55	33	51	4	7	70	2	1,45	0,87	2,32	1,34	2,21
Palmeiras	32	28,3	56.4	38	418	3.420	38.0	59	41	55	4	7	85	4	1,55	1,08	2,63	1,45	2,53
Ponte Preta	39	28,3	45.6	38	418	3.420	38.0	36	21	28	8	10	90	9	0,95	0,55	1,50	0,74	1,29
Santos	41	27,1	51.4	38	418	3.420	38.0	41	32	41	0	1	96	4	1,08	0,84	1,92	1,08	1,92
São Paulo	41	26,1	55.2	38	418	3.420	38.0	46	29	43	3	5	69	4	1,21	0,76	1,97	1,13	1,89
Sport Recife	35	28,3	53.0	38	418	3.420	38.0	45	31	39	6	6	90	4	1,18	0,82	2,00	1,03	1,84
Vasco da Gama	39	26,6	47.5	38	418	3.420	38.0	36	25	36	0	1	108	2	0,95	0,66	1,61	0,95	1,61
Vitória	37	26,6	48.1	38	418	3.420	38.0	50	35	45	5	8	95	6	1,32	0,92	2,24	1,18	2,11
