Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs América (MG)	46	26,9	54.7	38	418	3.420	38.0	57	44	51	6	6	56	3	1,50	1,16	2,66	1,34	2,50
vs Atl Paranaense	36	26,7	51.4	38	418	3.420	38.0	32	19	27	5	6	79	3	0,84	0,50	1,34	0,71	1,21
vs Atlético Mineiro	39	26,8	46.7	37	407	3.330	37.0	50	37	47	3	3	94	9	1,35	1,00	2,35	1,27	2,27
vs Botafogo (RJ)	34	26,5	51.7	38	418	3.420	38.0	38	31	38	0	2	86	2	1,00	0,82	1,82	1,00	1,82
vs Chapecoense	35	26,8	53.8	37	407	3.330	37.0	53	39	44	9	11	84	4	1,43	1,05	2,49	1,19	2,24
vs Corinthians	34	27,0	44.0	38	418	3.420	38.0	41	23	36	5	6	108	4	1,08	0,61	1,68	0,95	1,55
vs Coritiba	41	26,8	53.1	38	418	3.420	38.0	41	26	36	5	5	90	3	1,08	0,68	1,76	0,95	1,63
vs Cruzeiro	37	26,8	48.1	38	418	3.420	38.0	46	30	41	5	8	79	3	1,21	0,79	2,00	1,08	1,87
vs Figueirense	39	26,4	56.4	38	418	3.420	38.0	50	36	45	5	7	101	5	1,32	0,95	2,26	1,18	2,13
vs Flamengo	31	26,9	46.7	38	418	3.420	38.0	34	24	31	3	3	86	6	0,89	0,63	1,53	0,82	1,45
vs Fluminense	33	26,6	47.9	38	418	3.420	38.0	44	37	42	2	2	105	3	1,16	0,97	2,13	1,11	2,08
vs Grêmio	37	26,8	46.3	38	418	3.420	38.0	44	34	39	5	7	98	4	1,16	0,89	2,05	1,03	1,92
vs Internacional	40	26,8	48.8	38	418	3.420	38.0	41	26	37	4	6	86	4	1,08	0,68	1,76	0,97	1,66
vs Palmeiras	35	26,8	47.2	38	418	3.420	38.0	31	22	29	2	2	120	7	0,82	0,58	1,39	0,76	1,34
vs Ponte Preta	35	26,5	54.9	38	418	3.420	38.0	50	30	45	5	5	85	6	1,32	0,79	2,11	1,18	1,97
vs Santa Cruz	41	26,5	52.2	38	418	3.420	38.0	67	51	66	1	3	71	5	1,76	1,34	3,11	1,74	3,08
vs Santos	38	26,5	46.3	38	418	3.420	38.0	35	22	32	3	4	76	2	0,92	0,58	1,50	0,84	1,42
vs São Paulo	41	26,9	48.4	38	418	3.420	38.0	33	24	30	3	6	76	3	0,87	0,63	1,50	0,79	1,42
vs Sport Recife	30	26,4	49.1	38	418	3.420	38.0	55	38	50	5	7	92	6	1,45	1,00	2,45	1,32	2,32
vs Vitória	33	26,6	51.4	38	418	3.420	38.0	52	43	49	3	5	126	5	1,37	1,13	2,50	1,29	2,42
