Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
Atl Goianiense	32	26,0		38	418	3.420	38.0	59	48	55	4	4	89	5	1,55	1,26	2,82	1,45	2,71
Avaí	37	25,2		38	418	3.420	38.0	43	24	40	3	4	99	7	1,13	0,63	1,76	1,05	1,68
Bahia	34	26,3		38	418	3.420	38.0	53	40	50	3	4	98	3	1,39	1,05	2,45	1,32	2,37
Bragantino	58	26,4		38	418	3.420	38.0	30	23	28	2	3	91	6	0,79	0,61	1,39	0,74	1,34
Brasil (RS)	26	30,1		38	418	3.420	38.0	40	28	36	4	5	84	7	1,05	0,74	1,79	0,95	1,68
Ceará	39	26,6		38	418	3.420	38.0	46	32	41	5	7	95	4	1,21	0,84	2,05	1,08	1,92
CRB	35	28,4		38	418	3.420	38.0	56	40	52	4	5	91	12	1,47	1,05	2,53	1,37	2,42
Criciúma	35	24,8		38	418	3.420	38.0	49	35	43	6	9	104	3	1,29	0,92	2,21	1,13	2,05
Goiás	41	26,2		38	418	3.420	38.0	49	41	43	6	8	92	6	1,29	1,08	2,37	1,13	2,21
Joinville	48	26,3		38	418	3.420	38.0	31	22	31	0	1	87	8	0,82	0,58	1,39	0,82	1,39
Londrina	39	25,6		38	418	3.420	38.0	40	32	34	6	7	117	3	1,05	0,84	1,89	0,89	1,74
Luverdense	37	25,9		38	419	3.420	38.0	41	29	38	3	3	77	7	1,08	0,76	1,84	1,00	1,76
Náutico	44	25,5		38	418	3.420	38.0	53	34	47	6	6	89	3	1,39	0,89	2,29	1,24	2,13
Oeste	40	25,2		38	418	3.420	38.0	32	26	31	1	5	58	4	0,84	0,68	1,53	0,82	1,50
Paraná	41	27,0		38	418	3.420	38.0	37	22	34	3	5	94	11	0,97	0,58	1,55	0,89	1,47
Paysandu	38	28,3		38	418	3.420	38.0	40	28	38	2	3	101	6	1,05	0,74	1,79	1,00	1,74
Sampaio Corrêa	58	27,9		38	418	3.420	38.0	29	18	23	6	8	83	6	0,76	0,47	1,24	0,61	1,08
Tupi FC	36	26,9		38	418	3.420	38.0	40	28	40	0	1	85	5	1,05	0,74	1,79	1,05	1,79
Vasco da Gama	34	28,8		38	418	3.420	38.0	53	34	49	4	5	110	3	1,39	0,89	2,29	1,29	2,18
Vila Nova	43	28,0		38	418	3.420	38.0	54	36	48	6	7	98	12	1,42	0,95	2,37	1,26	2,21
