Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
vs ABC	44	26,9	49.9	38	418	3.420	38.0	48	28	41	7	8	58	1	1,26	0,74	2,00	1,08	1,82
vs América (MG)	34	26,8	48.2	38	418	3.420	38.0	25	18	21	4	4	97	10	0,66	0,47	1,13	0,55	1,03
vs Boa	39	26,9	50.7	38	418	3.420	38.0	41	26	33	8	8	89	3	1,08	0,68	1,76	0,87	1,55
vs Brasil (RS)	31	26,5	53.9	38	418	3.420	38.0	49	40	47	2	3	101	7	1,29	1,05	2,34	1,24	2,29
vs Ceará	32	27,0	45.2	38	418	3.420	38.0	31	21	27	4	6	88	6	0,82	0,55	1,37	0,71	1,26
vs CRB	34	26,8	50.1	38	418	3.420	38.0	47	30	44	3	4	103	4	1,24	0,79	2,03	1,16	1,95
vs Criciúma	35	26,8	50.4	38	418	3.420	38.0	44	26	40	4	6	88	3	1,16	0,68	1,84	1,05	1,74
vs Figueirense	43	26,9	49.3	38	418	3.420	38.0	48	38	47	1	1	94	4	1,26	1,00	2,26	1,24	2,24
vs Goiás	37	26,9	48.9	38	418	3.420	38.0	45	35	42	3	7	106	2	1,18	0,92	2,11	1,11	2,03
vs Guarani	39	27,0	48.2	38	418	3.420	38.0	45	27	40	5	5	89	6	1,18	0,71	1,89	1,05	1,76
vs Internacional	37	27,1	44.0	38	418	3.420	38.0	26	20	25	1	1	111	6	0,68	0,53	1,21	0,66	1,18
vs Juventude	32	26,9	50.8	38	418	3.420	38.0	37	22	35	2	3	90	3	0,97	0,58	1,55	0,92	1,50
vs Londrina	43	27,1	52.1	38	418	3.420	38.0	46	30	41	5	6	91	3	1,21	0,79	2,00	1,08	1,87
vs Luverdense	31	26,5	43.9	38	418	3.420	38.0	40	28	37	3	3	63	2	1,05	0,74	1,79	0,97	1,71
vs Náutico	48	26,9	55.4	38	418	3.420	38.0	51	28	43	8	11	89	3	1,34	0,74	2,08	1,13	1,87
vs Oeste	36	26,7	52.6	38	418	3.420	38.0	28	19	24	4	5	74	4	0,74	0,50	1,24	0,63	1,13
vs Paraná	38	27,0	50.9	38	418	3.420	38.0	26	15	23	3	5	106	7	0,68	0,39	1,08	0,61	1,00
vs Paysandu	39	26,8	52.6	38	418	3.420	38.0	40	26	38	2	4	92	5	1,05	0,68	1,74	1,00	1,68
vs Santa Cruz	43	26,9	45.9	38	418	3.420	38.0	54	38	44	10	10	106	3	1,42	1,00	2,42	1,16	2,16
vs Vila Nova	34	26,6	56.1	38	418	3.420	38.0	30	19	27	3	3	80	7	0,79	0,50	1,29	0,71	1,21
