Equipe	# J	Idade	Posse	MP	Inícios	Min.	90s	Gols	Assis.	G-PB	PB	PT	CrtsA	CrtV	Gols	Assis.	G+A	G-PB	G+A-PB
Atl Paranaense	36	26,2	61.9	38	418	3.420	38.0	49	32	46	3	4	82	1	1,29	0,84	2,13	1,21	2,05
Atlético Mineiro	32	28,1	49.4	38	418	3.420	38.0	44	26	39	5	8	69	5	1,16	0,68	1,84	1,03	1,71
Avaí	42	26,7	46.7	38	418	3.420	38.0	17	9	13	4	5	77	10	0,45	0,24	0,68	0,34	0,58
Bahia	31	27,0	46.9	38	418	3.420	38.0	43	24	34	9	10	64	6	1,13	0,63	1,76	0,89	1,53
Botafogo (RJ)	33	26,9	49.7	38	418	3.420	38.0	29	22	26	3	3	93	3	0,76	0,58	1,34	0,68	1,26
Ceará	33	29,0	45.5	38	418	3.420	38.0	35	24	32	3	6	85	2	0,92	0,63	1,55	0,84	1,47
Chapecoense	36	28,8	46.2	38	418	3.420	38.0	31	22	27	4	5	76	5	0,82	0,58	1,39	0,71	1,29
Corinthians	33	28,0	51.9	38	418	3.420	38.0	41	26	37	4	4	70	1	1,08	0,68	1,76	0,97	1,66
Cruzeiro	35	28,9	52.9	38	418	3.420	38.0	27	17	23	4	5	83	6	0,71	0,45	1,16	0,61	1,05
CSA	40	28,9	40.3	38	418	3.420	38.0	24	15	20	4	5	92	4	0,63	0,39	1,03	0,53	0,92
Flamengo	37	26,8	60.4	38	418	3.420	38.0	85	64	79	6	8	88	3	2,24	1,68	3,92	2,08	3,76
Fluminense	39	25,1	57.4	38	418	3.420	38.0	35	20	31	4	5	85	9	0,92	0,53	1,45	0,82	1,34
Fortaleza	32	28,1	45.4	38	418	3.420	38.0	49	33	41	8	9	81	6	1,29	0,87	2,16	1,08	1,95
Goiás	39	26,4	41.9	38	418	3.420	38.0	44	25	40	4	4	84	7	1,16	0,66	1,82	1,05	1,71
Grêmio	40	27,6	58.0	38	418	3.420	38.0	61	48	54	7	9	80	2	1,61	1,26	2,87	1,42	2,68
Internacional	38	27,9	53.6	38	418	3.420	38.0	43	25	42	1	3	94	3	1,13	0,66	1,79	1,11	1,76
Palmeiras	35	28,5	52.1	38	418	3.420	38.0	61	42	56	5	6	72	4	1,61	1,11	2,71	1,47	2,58
Santos	30	26,5	56.4	38	418	3.420	38.0	58	39	53	5	7	102	10	1,53	1,03	2,55	1,39	2,42
São Paulo	37	26,5	55.0	38	418	3.420	38.0	39	32	36	3	4	83	6	1,03	0,84	1,87	0,95	1,79
Vasco da Gama	39	26,0	44.2	38	418	3.420	38.0	37	20	29	8	10	101	4	0,97	0,53	1,50	0,76	1,2
